years,population
1615,7000
1626,2000
1676,5000
1777,13000
1811,22100
1818,20000
1840,43800
1856,37700
1860,40000
1863,40900
1897,80599
1913,94800
1914,93700
1920,90000
1923,95000
1926,118191
1931,161570
1939,326932
1956,400000
1959,447164
1962,516000
1967,611000
1970,660182
1973,713000
1975,749000
1976,749000
1979,782950
1982,820000
1985,851000
1986,856000
1987,872000
1989,886844
1990,890000
1991,900000
1992,902000
1993,903000
1994,905000
1995,903000
1996,904000
1997,910000
1998,904000
1999,908900
2000,907700
2001,901800
2002,848752
2003,850000
2004,849800
2005,848800
2006,846300
2007,840700
2008,839900
2009,843496
2010,889680
2011,979884
2012,991269
2013,1003638
2014,1014610
2015,1023570
2016,1032382
2017,1039801
2018,1047549
2019,1054111
2020,1058261
2021,1057681	
